label,pattern,replace,language
fruit_type_term,microstrobilo,gymnosperm_cone,spanish
fruit_type_term,microstrobilos,gymnosperm_cone,spanish
fruit_type_term,cono bacciforme,gymnosperm_fleshy_cone,spanish
fruit_type_term,conos bacciformes,gymnosperm_fleshy_cone,spanish
fruit_type_term,gálbulo,gymnosperm_fleshy_cone,spanish
fruit_type_term,gálbulos,gymnosperm_fleshy_cone,spanish
fruit_type_term,legumbre,legume,spanish
fruit_type_term,legumbres,legume,spanish
fruit_type_term,lomento,legume,spanish
fruit_type_term,lomentos,legume,spanish
fruit_type_term,nueces,nut,spanish
fruit_type_term,nueces aladas,nut,spanish
fruit_type_term,nuez,nut,spanish
fruit_type_term,nuez alada,nut,spanish
fruit_type_term,núcula,nut,spanish
fruit_type_term,núculas,nut,spanish
fruit_type_term,nuculanio,pome,spanish
fruit_type_term,nuculanios,pome,spanish
fruit_type_term,pomo,pome,spanish
fruit_type_term,pomos,pome,spanish
fruit_type_term,samaroide,samara,spanish
fruit_type_term,samaroides,samara,spanish
fruit_type_term,sámara,samara,spanish
fruit_type_term,sámara alada,samara,spanish
fruit_type_term,sámaras,samara,spanish
fruit_type_term,sámaras aladas,samara,spanish
fruit_type_term,coco,schizocarp,spanish
fruit_type_term,cocos,schizocarp,spanish
fruit_type_term,cremocarpo,schizocarp,spanish
fruit_type_term,cremocarpos,schizocarp,spanish
